shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0,46.19242983987264,6.206601015437689,1,0
0,46.1932434488844,6.200880614536097,2,0
0,46.1941009855915,6.195918803637007,3,0
0,46.19561662082734,6.192038232370624,4,0
0,46.19836192987149,6.185360104492562,5,0
0,46.19889773962743,6.180152283113587,6,0
0,46.19965532066944,6.17445469275743,7,0
0,46.200035504843,6.167722543315395,8,0
0,46.20010142856206,6.164047805273204,9,0
0,46.2006762901388,6.158281952467868,10,0
0,46.20112671401236,6.155934838914062,11,0
0,46.20188478852751,6.15230754148127,12,0
0,46.20319418519462,6.146917679315097,13,0
0,46.20389777471222,6.143836847833755,14,0
0,46.20069761160391,6.143344085119896,15,0
0,46.19763863270259,6.142983950159131,16,0
0,46.19461002020324,6.143451516959797,17,0
0,46.19175824775381,6.143844567171365,18,0
0,46.18865966346167,6.142924076732257,19,0
0,46.18673515288444,6.140106510311127,20,0
0,46.18433800305528,6.140410823492896,21,0
0,46.18108319868086,6.140726343081005,22,0
0,46.17967726608864,6.138114016580706,23,0
0,46.17584173022146,6.132206956639749,24,0
0,46.173623,6.129338,25,0
2,46.173898,6.129810,1,0
2,46.17607374707048,6.132622957616611,2,0
2,46.17984222207618,6.138561741581792,3,0
2,46.1814779308549,6.14093352841588,4,0
2,46.18388989665364,6.140772382072952,5,0
2,46.18699316903546,6.140773850811489,6,0
2,46.18914450926777,6.143125504002974,7,0
2,46.19224165247825,6.143909543346578,8,0
2,46.19499660293683,6.143414056961679,9,0
2,46.19809947140938,6.143035615596742,10,0
2,46.20098256311769,6.143821806208893,11,0
2,46.20366893141041,6.144627375140123,12,0
2,46.20304373615029,6.147343362552253,13,0
2,46.20173881108587,6.15281377442661,14,0
2,46.20100155558088,6.15644133357351,15,0
2,46.2005587984395,6.158764196182243,16,0
2,46.20007938259335,6.164856841891065,17,0
2,46.20001793362316,6.168639700219437,18,0
2,46.19955352783145,6.174857720956006,19,0
2,46.19882615554657,6.180614266096952,20,0
2,46.19822837477555,6.18591419585526,21,0
2,46.19537258295394,6.192501486176626,22,0
2,46.19393164995211,6.196608770899646,23,0
2,46.19324213224591,6.200676035908541,24,0
2,46.19242983987264,6.206601015437689,25,0
1783,46.17503940825219,6.061171126880727,1,0
1783,46.17613585806482,6.066850257066732,2,0
1783,46.17843898714761,6.073633030069834,3,0
1783,46.17960900625081,6.078200626971426,4,0
1783,46.17933764429789,6.082177435533164,5,0
1783,46.17881313309837,6.089777463155905,6,0
1783,46.1811629215063,6.095606251508154,7,0
1783,46.18356743847345,6.100509030573877,8,0
1783,46.18592898738493,6.105208856318470,9,0
1783,46.18820738784362,6.113527472387935,10,0
1783,46.19054839365895,6.119583266721861,11,0
1783,46.19384156395233,6.124027041820111,12,0
1783,46.20101292239657,6.12999969497735,13,0
1783,46.203047937714,6.133900358537344,14,0
1783,46.20360309360544,6.140987576298296,15,0
1783,46.2048626076406,6.143444023611796,16,0
1783,46.20762027410292,6.142272466007669,17,0
1783,46.20993606458661,6.141393208040658,18,0
1783,46.21001856722019,6.137844485080415,19,0
1783,46.21192043168193,6.133385256567137,20,0
1783,46.21360608521408,6.129870922890682,21,0
1783,46.21506551238446,6.12496677376173,22,0
1783,46.21651714852091,6.11775599743383,23,0
1783,46.2185638920224,6.110246312066378,24,0
1783,46.2198641943349,6.105203704764158,25,0
1783,46.22216384843913,6.096845693546182,26,0
1783,46.22583337173368,6.083285197328557,27,0
1783,46.23090617433476,6.080766163651713,28,0
1783,46.23326158720573,6.077610613161441,29,0
1783,46.23651291025,6.081750237485045,30,0
1786,46.23653685091828,6.08172094843129,1,0
1786,46.23295070426052,6.077983420246076,2,0
1786,46.23050703943994,6.081177893199908,3,0
1786,46.22560054741888,6.08384086315009,4,0
1786,46.22188295681833,6.0975305566617,5,0
1786,46.21959256542977,6.105855410258146,6,0
1786,46.21824067302673,6.111091556603308,7,0
1786,46.21623983863211,6.118480047486059,8,0
1786,46.21494587804884,6.125408042792399,9,0
1786,46.21326653096675,6.130477657957985,10,0
1786,46.21157654390269,6.134065660254501,11,0
1786,46.20968633298688,6.138511777430659,12,0
1786,46.20961912715701,6.141807511122387,13,0
1786,46.20726297884896,6.142035739379848,14,0
1786,46.20451915148434,6.143467973238773,15,0
1786,46.2040946780054,6.140224985498664,16,0
1786,46.20294456972033,6.133143891887411,17,0
1786,46.20067478333893,6.12947646349841,18,0
1786,46.19357896465189,6.123601457234472,19,0
1786,46.19019177086618,6.119037732586025,20,0
1786,46.1879831663116,6.112620590177245,21,0
1786,46.18581300684478,6.106035804926255,22,0
1786,46.1832467561898,6.099877432800557,23,0
1786,46.18038922327192,6.093693929679152,24,0
1786,46.17862800836085,6.088986426346907,25,0
1786,46.1794812585362,6.081522551622901,26,0
1786,46.17958155329097,6.077573348377589,27,0
1786,46.17821418695064,6.072920280038222,28,0
1786,46.17597005106119,6.066150032431938,29,0
1786,46.17496169286014,6.060423199998176,30,0
3677,46.22218171293308,6.139053684180333,1,0
3677,46.22088819802374,6.141806327746401,2,0
3677,46.21997953225836,6.145876166404811,3,0
3677,46.216598,6.1466898,4,0
3677,46.21310676486104,6.145334851291425,5,0
3677,46.20993174991873,6.143019520472881,6,0
3677,46.20717585149703,6.13951833349933,7,0
3677,46.20366873256722,6.139861664966473,8,0
3677,46.20029261553788,6.140903767581042,9,0
3677,46.19829360992781,6.141958968979869,10,0
