service_id,date,exception_type
"TA+qW",20221014,2
"TA+qW",20221017,2
"TA+qW",20221018,2
"TA+qW",20221019,2
"TA+qW",20221020,2
"TA+qW",20221021,2
"TA+qW",20221031,2
"TA+qW",20221101,2
"TA+qW",20221102,2
"TA+qW",20221103,2
"TA+qW",20221104,2
"TA+qW",20221107,2
"TA+qW",20221108,2
"TA+qW",20221109,2
"TA+qW",20221110,2
"TA+qW",20221111,2
"TA+qW",20221114,2
"TA+qW",20221115,2
"TA+qW",20221116,2
"TA+qW",20221117,2
"TA+qW",20221118,2
"TA+qW",20221121,2
"TA+qW",20221122,2
"TA+qW",20221123,2
"TA+qW",20221124,2
"TA+qW",20221125,2
"TA+qW",20221128,2
"TA+qW",20221129,2
"TA+qW",20221130,2
"TA+qW",20221201,2
"TA+qW",20221202,2
"TA+qW",20221205,2
"TA+qW",20221206,2
"TA+qW",20221207,2
"TA+qW",20221208,2
"TA+qW",20221209,2
"TA+uo000",20220415,2
"TA+uo000",20220418,2
"TA+uo000",20220526,2
"TA+uo000",20220606,2
"TA+uo000",20220801,2
"TA+uo000",20220908,2
"TA+w0100",20211227,2
"TA+w0100",20211228,2
"TA+w0100",20211229,2
"TA+w0100",20211230,2
"TA+w0100",20220103,2
"TA+w0100",20220104,2
"TA+w0100",20220105,2
"TA+w0100",20220106,2
"TA+w0100",20220214,2
"TA+w0100",20220215,2
"TA+w0100",20220216,2
"TA+w0100",20220217,2
"TA+w0100",20220414,2
"TA+w0100",20220418,2
"TA+w0100",20220419,2
"TA+w0100",20220420,2
"TA+w0100",20220421,2
"TA+w0100",20220526,2
"TA+w0100",20220606,2
"TA+w0100",20220704,2
"TA+w0100",20220705,2
"TA+w0100",20220706,2
"TA+w0100",20220707,2
"TA+w0100",20220711,2
"TA+w0100",20220712,2
"TA+w0100",20220713,2
"TA+w0100",20220714,2
"TA+w0100",20220718,2
"TA+w0100",20220719,2
"TA+w0100",20220720,2
"TA+w0100",20220721,2
"TA+w0100",20220725,2
"TA+w0100",20220726,2
"TA+w0100",20220727,2
"TA+w0100",20220728,2
"TA+w0100",20220801,2
"TA+w0100",20220802,2
"TA+w0100",20220803,2
"TA+w0100",20220804,2
"TA+w0100",20220808,2
"TA+w0100",20220809,2
"TA+w0100",20220810,2
"TA+w0100",20220811,2
"TA+w0100",20220815,2
"TA+w0100",20220816,2
"TA+w0100",20220817,2
"TA+w0100",20220818,2
"TA+w0100",20220908,2
"TA+w0100",20221024,2
"TA+w0100",20221025,2
"TA+w0100",20221026,2
"TA+w0100",20221027,2
