from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8593167","8593138","2","420"
"8593167","8593174","2","240"
"8593169","8501007","2","540"
"8593169","8587924","2","480"
"8593169","8593155","2","420"
"8593169","8501007:0:1","2","540"
"8593169","8501007:0:2","2","540"
"8593174","8593138","2","420"
"8593174","8593167","2","240"
"8593180","8595029","2","480"
"8593180","8501006:0:1","2","420"
"8593180","8501006:0:2","2","420"
"8593186","8593191","2","300"
"8593189","8501013:0:1","2","120"
"8593191","8593186","2","300"
"8595029","8593180","2","480"
"8595029","8501006:0:1","2","180"
"8595029","8501006:0:2","2","180"
"8595771","8774549","2","300"
"8595771","8774549:0:G","2","300"
"8596097","8587078","2","1200"
"8596097","8501014:0:1","2","120"
"8596097","8501014:0:2","2","120"
"8596098","8592949","2","240"
"8774538","1401775","2","120"
"8774538","8587477","2","360"
"8774543","1401852","2","120"
"8774543","1401639","2","240"
"8774549","8595771","2","300"
"8501023:0:1","8587577","2","120"
"8501023:0:2","8587577","2","120"
"8501023:0:3","8587577","2","120"
"8501014:0:1","8587078","2","1200"
"8501014:0:1","8596097","2","120"
"8501014:0:2","8587078","2","1200"
"8501014:0:2","8596097","2","120"
"8501013:0:1","8593189","2","120"
"8501022:0:1","8587095","2","120"
"8501022:0:2","8587095","2","120"
"8501022:0:3","8587095","2","120"
"8501012:0:1","8587064","2","540"
"8501012:0:2","8587064","2","540"
"8501021:0:1","8503217","2","300"
"8501021:0:1","8587065","2","180"
"8501011:0:1","8503229","2","120"
"8501020:0:1","8503247","2","180"
"8501020:0:1","8593076","2","540"
"8501020:0:2","8503247","2","180"
"8501020:0:2","8593076","2","540"
"8516283:0:1","8587058","2","600"
"8516283:0:1","8592843","2","360"
"8516283:0:1","8592895","2","180"
"8501008:0:2","8587057","2","300"
"8501008:0:2","8592850","2","360"
"8501008:0:3","8587057","2","300"
"8501008:0:3","8592850","2","360"
"8501008:0:1","8587057","2","300"
"8501008:0:1","8592850","2","360"
"8501008:0:4","8587057","2","300"
"8501008:0:4","8592850","2","360"
"8501008:0:6","8587057","2","300"
"8501008:0:6","8592850","2","360"
"8501008:0:5","8587057","2","300"
"8501008:0:5","8592850","2","360"
"8501008:0:8","8587057","2","300"
"8501008:0:8","8592850","2","360"
"8501008:0:7","8587057","2","300"
"8501008:0:7","8592850","2","360"
"8516155:0:1","8589098","2","240"
"8516155:0:1","8592679","2","300"
"8516155:0:2","8589098","2","240"
"8516155:0:2","8592679","2","300"
"8517142:0:1","8587075","2","300"
"8517142:0:2","8587075","2","300"
"8516272:0:1","8592878","2","300"
"8516272:0:1","8592886","2","240"
"8516272:0:1","8592898","2","420"
"8516272:0:2","8592878","2","300"
"8516272:0:2","8592886","2","240"
"8516272:0:2","8592898","2","420"
"8516273:0:1","8507347","2","300"
"8516273:0:1","8592778","2","480"
"8516273:0:1","8592829","2","240"
"8516273:0:1","8592865","2","300"
"8516273:0:2","8507347","2","300"
"8516273:0:2","8592778","2","480"
"8516273:0:2","8592829","2","240"
"8516273:0:2","8592865","2","300"
"8516274:0:1","8507345","2","300"
"8516274:0:1","8592708","2","240"
"8516274:0:1","8592713","2","420"
"8516274:0:2","8507345","2","300"
"8516274:0:2","8592708","2","240"
"8516274:0:2","8592713","2","420"
"8774549:0:G","8595771","2","300"
"8501026:0:1","8592775","2","300"
"8501026:0:3","8592775","2","300"
"8501026:0:4","8592775","2","300"
"8501026:0:3A-D","8592775","2","300"
"8501030:0:2","8570000","2","180"
"8501030:0:1","8570000","2","180"
"8501030:0:3","8570000","2","180"
"8501030:0:21/22","8570000","2","180"
"8501031:0:1","8570030","2","180"
"8501031:0:3","8570030","2","180"
"8501001:0:1","8587073","2","120"
"8501002:0:1","8587087","2","360"
"8501002:0:2","8587087","2","360"
"8501003:0:1","8587389","2","120"
"8501003:0:2","8587389","2","120"
