route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"92-72-A-j22-2","TA+e3","1.TA.92-72-A-j22-1.1.H","Satigny"," gare","1",32716
"92-73-j22-1","TA+qV","89.TA.92-73-j22-1.3.H","Zimeysa"," gare","0",32868
"92-73-j22-2","TA+qV","269.TA.92-73-j22-1.6.R","Satigny"," gare","1",33010
"92-74-j22-1","TA+e3","5.TA.92-74-j22-1.2.H","La Plaine"," gare","0",33233
"92-74-j22-2","TA+qW","144.TA.92-74-j22-1.3.R","Russin"," village","1",33282
"92-75-B-j22-1","TA+hp000","25.TA.92-75-B-j22-1.3.H","Dardagny"," château","0",33511
"92-75-B-j22-2","TA+jp000","48.TA.92-75-B-j22-1.6.R","La Plaine"," gare","1",33534
"92-76-A-j22-1","TA+ip000","49.TA.92-76-A-j22-1.3.R","La Plaine"," gare","0",33611
"92-76-A-j22-2","TA+hp000","1.TA.92-76-A-j22-1.1.H","Viry"," église","1",33572
"92-77-A-j22-1","TA+hp000","45.TA.92-77-A-j22-1.2.R","La Plaine"," gare","0",33703
"92-77-A-j22-2","TA+qW","1.TA.92-77-A-j22-1.1.H","Sézegnin"," Mairie d'Avusy","1",33664
"92-78-B-j22-1","TA+qW","77.TA.92-78-B-j22-1.2.R","Chancy"," douane","0",33758
"92-78-B-j22-2","TA+qW","1.TA.92-78-B-j22-1.1.H","La Plaine"," gare","1",33756
"92-7-A-j22-1","TA+qW","568.TA.92-7-A-j22-1.9.R","Genève"," Bout-du-Monde","0",34384
"92-7-A-j22-2","TA+w0100","75.TA.92-7-A-j22-1.5.H","Vernier"," Lignon-Tours","1",33910
"92-86-A-j22-1","TA+hp000","21.TA.92-86-A-j22-1.2.R","Presinge"," village","0",34919
"92-86-A-j22-2","TA+jp000","1.TA.92-86-A-j22-1.1.H","Annemasse"," gare Rotonde","1",34906
"92-8-A-j22-1","TA+qW","738.TA.92-8-A-j22-1.9.H","Veyrier"," douane","0",34958
"92-8-A-j22-2","TA+qW","857.TA.92-8-A-j22-1.13.R","Genève"," OMS","1",34961
"92-9-j22-1","TA+qW","557.TA.92-9-j22-1.4.R","Thônex"," Belle-Terre-Place de l'Araire","0",36474
"92-9-j22-2","TA+qW","10.TA.92-9-j22-1.2.H","Vernier"," Lignon-Tours","1",36472
"92-A1-j22-1","TA+e3","1.TA.92-A1-j22-1.1.H","Grand-Saconnex"," Fret","0",37576
"92-A1-j22-2","TA+e3","1.TA.92-A1-j22-1.1.H","Grand-Saconnex"," Fret","1",37576
"92-A2-j22-1","TA+jp000","1.TA.92-A2-j22-1.1.H","Grand-Saconnex"," Fret","0",37588
"92-A2-j22-2","TA+jp000","1.TA.92-A2-j22-1.1.H","Grand-Saconnex"," Fret","1",37588
"92-A3-j22-1","TA+hp000","1.TA.92-A3-j22-1.1.R","Grand-Saconnex"," Fret","0",37606
"92-A3-j22-2","TA+hp000","1.TA.92-A3-j22-1.1.R","Grand-Saconnex"," Fret","1",37606
"92-A4-j22-1","TA+ip000","1.TA.92-A4-j22-1.1.H","Grand-Saconnex"," Fret","0",37618
"92-A4-j22-2","TA+ip000","1.TA.92-A4-j22-1.1.H","Grand-Saconnex"," Fret","1",37618
"92-A5-j22-1","TA+hp000","3.TA.92-A5-j22-1.2.H","Genève-Aéroport"," Grand-Hangar","0",37624
"92-A5-j22-2","TA+hp000","3.TA.92-A5-j22-1.2.H","Genève-Aéroport"," Grand-Hangar","1",37624
"92-A6-j22-1","TA+qV","1.TA.92-A6-j22-1.1.H","Grand-Saconnex"," Fret","0",37637
"92-A6-j22-2","TA+qV","1.TA.92-A6-j22-1.1.H","Grand-Saconnex"," Fret","1",37637
"92-A-j22-1","TA+e3","232.TA.92-A-j22-1.4.R","Genève"," Rive","0",37791
"92-A-j22-2","TA+qV","5.TA.92-A-j22-1.2.H","Gy"," temple","1",37644
"92-D-j22-1","TA+e3","1.TA.92-D-j22-1.1.H","Saint-Julien-en-Genevois"," SNCF","0",38112
"92-D-j22-2","TA+qV","258.TA.92-D-j22-1.2.R","Genève"," Bel-Air","1",38288
"92-E+-j22-1","TA+qW","1.TA.92-E+-j22-1.1.H","Hermance"," village","0",38623
"92-E+-j22-2","TA+qW","9.TA.92-E+-j22-1.2.R","Genève"," Cornavin","1",38624
"92-E-j22-1","TA+qV","6.TA.92-E-j22-1.2.H","Hermance"," village","0",38640
"92-E-j22-2","TA+qW","377.TA.92-E-j22-1.4.R","Genève"," Rive","1",38938
"92-F-j22-1","TA+qV","100.TA.92-F-j22-1.4.H","Gex"," L'Aiglette","0",39372
"92-F-j22-2","TA+qV","295.TA.92-F-j22-1.8.R","Genève"," Cornavin","1",39473
"92-G+-j22-1","TA+qW","21.TA.92-G+-j22-1.2.R","Genève"," Cornavin","0",39762
"92-G+-j22-2","TA+qW","1.TA.92-G+-j22-1.1.H","Veigy"," douane","1",39749
"92-G-j22-1","TA+qV","21.TA.92-G-j22-1.3.H","Veigy"," douane","0",39789
"92-G-j22-2","TA+qV","287.TA.92-G-j22-1.7.R","Genève"," Rive","1",39959
"92-J-j22-1","TA+qW","1.TA.92-J-j22-1.1.H","Avusy"," village","0",40290
"92-J-j22-2","TA+qV","217.TA.92-J-j22-1.2.R","Carouge GE"," Stade de Genève","1",40421
"92-K-j22-1","TA+e3","1.TA.92-K-j22-1.1.H","Chancy"," douane","0",40718
"92-K-j22-2","TA+e3","217.TA.92-K-j22-1.3.R","Carouge GE"," Stade de Genève","1",40849
"92-L-j22-1","TA+qW","224.TA.92-L-j22-1.4.R","Confignon"," croisée","0",41287
"92-L-j22-2","TA+qV","6.TA.92-L-j22-1.2.H","Athenaz"," école","1",41148
"92-M-j22-1","TA+e3","35.TA.92-M-j22-1.2.R","Collonges-Salève"," Bourg Haut","0",41616
"92-M-j22-2","TA+uo000","1.TA.92-M-j22-1.1.H","Beaumont"," le Châble","1",41588
"92-N-j22-1","TA+uo000","38.TA.92-N-j22-1.6.R","Saint-Julien"," Lycée de Staël","0",41720
"92-N-j22-2","TA+uo000","4.TA.92-N-j22-1.3.H","Valleiry"," gare","1",41693
"92-T-j22-1","TA+ip000","57.TA.92-T-j22-1.2.R","La Plaine"," gare","0",41819
"92-T-j22-2","TA+hp000","1.TA.92-T-j22-1.1.H","Challex"," La Halle","1",41817
